cell	genome	process	n_tasks	n_failed	n_aborted	n_superseded	n_unresolved	realtime_hours_sum	wall_clock_hours	cpu_hours_sum	peak_rss_gb_max	rss_field	overhead_task_time_hours_sum	overhead_cpu_hours_sum	attempts	cpus	queues
v1.9.0-rc1_container	Sporobolomyces_koalae_JCM15063	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.0658	1.0668	6.8693	2.8	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Sporobolomyces_salmoneus_JCM6883	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.0086	1.0168	6.4339	3.5	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Sugiyamaella_lignohabitans_CBS_10342	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.1667	1.1834	7.6137	12.3	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Synchytrium_microbalum_JEL517	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.8761	0.8834	5.8069	5.2	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Talaromyces_marneffei	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.1475	1.1501	14.8177	7.9	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Talaromyces_stipitatus_ATCC_10500	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.6569	1.6668	10.1223	11.1	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Tilletiaria_anomala	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.59	0.6001	7.1638	2.2	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Tilletiopsis_washingtonensis	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.6856	0.7	8.4221	1.7	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Tremella_mesenterica_Fries	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.9319	1.9335	12.633	8.0	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Uncinocarpus_reesii_1704	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.4936	1.5001	9.7234	11.6	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Wallemia_mellicola_CBS_633.66	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.9033	0.9	5.7253	2.8	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Yarrowia_lipolytica	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.7483	0.75	8.8266	1.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Zygosaccharomyces_rouxii	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.2817	0.3	3.1434	2.7	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Allomyces_macrogynus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.055	1.0668	13.0883	2.2	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Aspergillus_clavatus_NRRL_1	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.5158	1.5168	9.4345	4.0	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Aspergillus_fumigatus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.1356	1.1334	14.0048	3.9	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Blastomyces_dermatitidis_ER-3	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.7514	1.7668	11.0986	22.3	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Botrytis_cinerea	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.2092	1.2168	14.7881	2.6	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Chaetomium_globosum	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.3139	1.3168	16.9728	2.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Cryptococcus_deneoformans	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.8089	0.8334	9.917	3.1	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Cryptococcus_neoformans	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.78	0.7833	9.633	2.2	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Cystobasidium_minutum_MCA_4210	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.9928	1.0168	6.3488	4.4	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Dactylellina_haptotyla_CBS_200.50	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.91	0.9167	5.7567	2.4	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Eremothecium_gossypii_ATCC_10895	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.7469	0.75	4.8066	4.0	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Gaeumannomyces_tritici	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.2756	1.2834	16.0605	2.6	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Kluyveromyces_lactis	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.2247	0.2334	2.6614	13.1	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Laccaria_bicolor_S238N-H82	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	2.2442	2.2502	13.9138	4.9	peak_rss	0.0	0.0	1	8	epyc
