cell	genome	process	task_name	status	exit	realtime_s	cpu_pct	peak_rss_gb	rss_field	cpu_hours	attempt	cpus	memory_req_gb	queue	hostname	submit	start	complete	trace_file	role
v1.9.0-rc1_container	Dactylellina_haptotyla_CBS_200.50	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Dactylellina_haptotyla_CBS_200.50)	COMPLETED	0	3837.0	582.2	2.6	peak_rss	6.205281666666667	1	8	32.0	epyc		2026-09-24 01:19:15.191	2026-09-24 03:20:16.539	2026-09-24 04:24:17.017	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Yarrowia_lipolytica	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Yarrowia_lipolytica)	COMPLETED	0	2694.0	1179.5	1.8	peak_rss	8.826591666666666	1	16	52.0	epyc		2026-09-24 01:19:11.188	2026-09-24 03:51:16.718	2026-09-24 04:36:16.890	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Talaromyces_stipitatus_ATCC_10500	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Talaromyces_stipitatus_ATCC_10500)	COMPLETED	0	5965.0	610.9	11.1	peak_rss	10.122273611111112	1	8	32.0	epyc		2026-09-24 01:19:05.180	2026-09-24 03:04:16.500	2026-09-24 04:44:16.929	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Tilletiaria_anomala	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Tilletiaria_anomala)	COMPLETED	0	2124.0	1214.2	2.2	peak_rss	7.16378	1	16	52.0	epyc		2026-09-24 01:19:17.180	2026-09-24 04:14:16.850	2026-09-24 04:50:17.051	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Morchella_importuna	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Morchella_importuna)	COMPLETED	0	4860.0	1106.8	6.9	peak_rss	14.9418	1	16	52.0	epyc		2026-09-24 01:19:09.180	2026-09-24 03:30:16.637	2026-09-24 04:51:16.951	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Pyrenophora_teres	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Pyrenophora_teres)	COMPLETED	0	1327.0	1273.1	4.4	peak_rss	4.692788055555556	1	16	52.0	epyc		2026-09-24 01:19:23.178	2026-09-24 04:31:16.875	2026-09-24 04:54:17.015	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Pneumocystis_murina_B123	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Pneumocystis_murina_B123)	COMPLETED	0	3026.0	693.9	2.6	peak_rss	5.832615	1	8	32.0	epyc		2026-09-24 01:19:25.176	2026-09-24 04:04:16.771	2026-09-24 04:55:17.012	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Synchytrium_microbalum_JEL517	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Synchytrium_microbalum_JEL517)	COMPLETED	0	3154.0	662.8	5.2	peak_rss	5.806864444444443	1	8	32.0	epyc		2026-09-24 01:19:31.183	2026-09-24 04:14:16.854	2026-09-24 05:07:16.983	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Zygosaccharomyces_rouxii	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Zygosaccharomyces_rouxii)	COMPLETED	0	1014.0	1116.0	2.7	peak_rss	3.1434	1	16	52.0	epyc		2026-09-24 01:19:33.380	2026-09-24 04:51:17.084	2026-09-24 05:09:17.100	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Uncinocarpus_reesii_1704	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Uncinocarpus_reesii_1704)	COMPLETED	0	5377.0	651.0	11.6	peak_rss	9.723408333333332	1	8	32.0	epyc		2026-09-24 01:19:19.181	2026-09-24 03:45:16.699	2026-09-24 05:15:17.095	annotate_trace.20260924_011756.txt	final
