cell	genome	process	n_tasks	n_completed	n_failed	n_aborted	realtime_hours_sum	cpu_hours_sum	peak_rss_gb_max
v1.8.17_container	Pneumocystis_murina_B123	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Protomyces_lactucae-debilis	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Pseudogymnoascus_destructans_20631-21	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Pyrenophora_teres_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0001	0.0	0.003
v1.8.17_container	Pyrenophora_teres_0-1	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Pyrenophora_tritici-repentis_Pt-1C-BFP	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Pyricularia_oryzae	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Pyricularia_oryzae_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0001	0.0	0.003
v1.8.17_container	Rhizopus_delemar	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Rhizopus_delemar_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0239	0.0067	0.034
v1.8.17_container	Rhizopus_microsporus	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Rhodotorula_graminis	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.0
v1.8.17_container	Rhodotorula_graminis_WP1	TRAIN_PREDICT:GENEMARK_RUN	2	0	2	0	0.0	0.0	0.0
v1.8.17_container	Rhodotorula_toruloides	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
v1.8.17_container	Saccharomyces_cerevisiae	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Schizophyllum_commune_H4-8	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Sclerotinia_sclerotiorum	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Spizellomyces_punctatus	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Sporobolomyces_koalae_JCM15063	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Sporobolomyces_salmoneus_JCM6883	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Sugiyamaella_lignohabitans	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.0
