species	size_bytes	category	note
Alternaria_sp._BMP_2799	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._DAOMC_225332	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._DET2042	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._DET2072	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._DET2103	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._DET2104	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._DET2105	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._DET2106	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._DET2107	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._KAS1274	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._KAS5446	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._KAS5449	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._KAS5470	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._KAS5474	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._KAS5477	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._KAS5486	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._KAS5506	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._M3903	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._M3908	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._RS040	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._S3601	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_sp._SPS-2	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_triticimaculans	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_triticina	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_ventricosa	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternaria_viburni	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alternosema_astaquatica	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Alyxoria_varia	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amanita_bisporigera	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amanita_brunnescens	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amanita_inopinata	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amanita_jacksonii	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amanita_polypyramis	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amanita_pseudoporphyria	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amanita_subjunquillea	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amanita_thiersii	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amanita_vidua	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Ambispora_gerdemannii	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU10_Ox001727	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU1_NHMUK015059140	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU1_Ox002245	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU1_Ox002633	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU2_SAN22000470	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU2_SAN22000472	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU2_SAN22000475	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU2_SAN22000477	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU2_SAN22000478	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU8_NHMUK014451618	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Amblyosporidae_sp._gmOTU9_SAN22000474	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Ambrosiella_beaveri	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Ambrosiella_cleistominuta	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Ambrosiella_grosmanniae	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Ambrosiella_roeperi	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Ambrosiozyma_ambrosiae	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Ambrosiozyma_angophorae	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Ambrosiozyma_cicatricosa	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
