SPECIES,STRAIN,ASMID,LOCUSTAG,BUSCO_LINEAGE,TRANSL_TABLE,NCBI_TAXONID,GENOME
Pneumocystis murina,B123,GCF_000349005.2,PNEMUR,ascomycota_odb10,1,1069680,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000349005.2_Pneumo_murina_B123_V4.masked.fasta.gz
Talaromyces stipitatus,ATCC 10500,GCF_000003125.1,TALSTI,eurotiomycetes_odb10,1,441959,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000003125.1_JCVI-TSTA1-3.0.masked.fasta.gz
Sporobolomyces salmoneus,JCM6883,GCF_050403485.1,SPOSAL,basidiomycota_odb10,1,183962,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_050403485.1_S_salmoneus_JCM6883v1.masked.fasta.gz
Tricharina praecox,CBS 144465,GCF_024521635.1,TRIPRA,ascomycota_odb10,1,43433,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_024521635.1_Tripra1.masked.fasta.gz
Protomyces lactucae-debilis,12-1054,GCF_002105105.1,PROLAC,ascomycota_odb10,1,2754530,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_002105105.1_Prola1.masked.fasta.gz
Eremothecium gossypii,ATCC 10895,GCF_000091025.4,EREGOS,saccharomycetes_odb10,1,284811,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000091025.4_ASM9102v4.masked.fasta.gz
Pseudogymnoascus destructans,20631-21,GCF_000184105.1,PSEDES,leotiomycetes_odb10,1,658429,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000184105.1_Geom_destructans_V1.masked.fasta.gz
Colletotrichum graminicola,M1.001,GCF_000149035.1,COLGRA,sordariomycetes_odb10,1,645133,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000149035.1_C_graminicola_M1_001_V1.masked.fasta.gz
Batrachochytrium dendrobatidis,JAM81,GCF_000203795.2,BATDEN,fungi_odb10,1,684364,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000203795.2_v1.1.masked.fasta.gz
Dactylellina haptotyla,CBS 200.50,GCF_000441935.1,DACHAP,ascomycota_odb10,1,1284197,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000441935.1_MHA_v2.masked.fasta.gz
Cokeromyces recurvatus,NRRL 2243,GCF_025118155.1,COKREC,mucorales_odb10,1,90255,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_025118155.1_Cokrec1.masked.fasta.gz
Trichosporon asahii,CBS 2479,GCF_000293215.1,TRIASA,tremellomycetes_odb10,1,1186058,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000293215.1_Trichosporon_asahii_1.masked.fasta.gz
